id,titulo,precio,link,imagen,método,capacidad,ram,color,timestamp
Galaxy_24__N/A_256GB,Galaxy 24 Ultra 256gb,$4.000.000,https://articulo.mercadolibre.com.co/MCO-2897112496-galaxy-24-ultra-256gb-_JM?searchVariation=183886713262#polycard_client=search-nordic&searchVariation=183886713262&position=36&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_720164-MCO86036575915_062025-V.webp,BeautifulSoup,256GB,,,2025-06-15T00:41:45.885445
Celular_Sa_N/A_N/A,Celular Samsung S24 Ultra (dual Esim),$3.700.000,https://articulo.mercadolibre.com.co/MCO-1571262091-celular-samsung-s24-ultra-dual-esim-_JM?searchVariation=187589208567#polycard_client=search-nordic&searchVariation=187589208567&position=37&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_787307-MCO82328504312_022025-V.webp,BeautifulSoup,,,,2025-06-15T00:41:45.885672
Samsung_Ga_N/A_N/A,Samsung Galaxi S24 Ultra Poco Usos Como Nuevo Único Dueño,$3.600.000,https://articulo.mercadolibre.com.co/MCO-2866193512-samsung-galaxi-s24-ultra-poco-usos-como-nuevo-unico-dueno-_JM?searchVariation=183572867376#polycard_client=search-nordic&searchVariation=183572867376&position=38&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_646141-MCO84532840779_052025-V.webp,BeautifulSoup,,,,2025-06-15T00:41:45.885898
Samsung_Ga_12GB_256GB,Samsung Galaxy S24 Ultra Dual Sim 256gb 12gb Ram Negro,$3.300.000,https://articulo.mercadolibre.com.co/MCO-2892621616-samsung-galaxy-s24-ultra-dual-sim-256gb-12gb-ram-negro-_JM?searchVariation=188337024331#polycard_client=search-nordic&searchVariation=188337024331&position=39&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_635615-MCO85625385624_062025-V.webp,BeautifulSoup,256GB,12GB,Negro,2025-06-15T00:41:45.886127
Samsung_Ga_12GB_256GB,Samsung Galaxy S24 Ultra 256gb 12gb Ram Dual Sim,$3.800.000,https://articulo.mercadolibre.com.co/MCO-2871013408-samsung-galaxy-s24-ultra-256gb-12gb-ram-dual-sim-_JM?searchVariation=183633271564#polycard_client=search-nordic&searchVariation=183633271564&position=40&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_931586-MCO84502516566_052025-V.webp,BeautifulSoup,256GB,12GB,,2025-06-15T00:41:45.886367
Samsung_S2_N/A_1TB,Samsung S24 Ultra 1 Tb,$4.500.000,https://articulo.mercadolibre.com.co/MCO-1600458915-samsung-s24-ultra-1-tb-_JM?searchVariation=188374696403#polycard_client=search-nordic&searchVariation=188374696403&position=41&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_679411-MCO85730773140_062025-V.webp,BeautifulSoup,1TB,,,2025-06-15T00:41:45.886601
Celular_Sa_N/A_N/A,Celular Samsung S24 Ultra (dual Esim),$6.700.000,https://www.mercadolibre.com.co/celular-samsung-s24-ultra-dual-esim/p/MCO37974940#polycard_client=search-nordic&searchVariation=MCO37974940&position=44&search_layout=stack&type=product&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b&wid=&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_687375-MLU77413231491_072024-V.webp,BeautifulSoup,,,,2025-06-15T00:41:45.886816
Samsung_Ga_12GB_512GB,Samsung Galaxy S24 Ultra 5G Dual SIM 512 GB titanium black 12 GB RAM - Excelente (Reacondicionado),$4.000.000,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-512-gb-titanium-black-12-gb-ram-excelente-reacondicionado/p/MCO2000058697#polycard_client=search-nordic&searchVariation=MCO2000058697&position=41&search_layout=stack&type=product&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b&wid=&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_943032-MLA74322939878_022024-V.webp,BeautifulSoup,512GB,12GB,Negro,2025-06-15T00:41:45.887030
Celular_Sa_N/A_256GB,Celular Samsung Galaxy S24 Ultra 12gb 256gb Violeta Titanium,$3.756.000,https://www.mercadolibre.com.co/celular-samsung-galaxy-s24-ultra-12gb-256gb-violeta-titanium/p/MCO46080442#polycard_client=search-nordic&searchVariation=MCO46080442&position=46&search_layout=stack&type=product&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b&wid=&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_743934-MLA82449695961_022025-V.webp,BeautifulSoup,256GB,,Violeta,2025-06-15T00:41:45.887243
Samsung_Ga_12GB_1TB,Samsung Galaxy S24 Ultra 5G Dual SIM 1 TB titanium green 12 GB RAM,$7.700.000,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-1-tb-titanium-green-12-gb-ram/p/MCO29893921#polycard_client=search-nordic&searchVariation=MCO29893921&position=43&search_layout=stack&type=product&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b&wid=&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_873281-MLA74088134534_012024-V.webp,BeautifulSoup,1TB,12GB,,2025-06-15T00:41:45.887481
